date/time,type,order id,sku,description,quantity,marketplace,total
"Sep 1, 2022 1:00:14 AM PDT",Adjustment,112-0333445-2185842,811LM -B,Liftmaster 811LM Single Button Remote Control,1,amazon.com,-9.67
"Sep 1, 2022 1:00:14 AM PDT",Adjustment,112-0333445-2185842,811LM -B,Liftmaster 811LM Single Button Remote Control,1,amazon.com,20.55
"Sep 1, 2022 10:21:31 PM PDT",Adjustment,114-4415137-2428211,TH8321WF1001-x,Honeywell TH8321WF1001 Touchscreen Thermostat Wifi Vision Pro 8000 with Stages upto 3 Heat / 2 Cool,1,amazon.com,-123.78
"Sep 1, 2022 1:00:26 PM PDT",Adjustment,114-0864698-9413011,TH9320WF5003 - b,"Honeywell TH9320WF5003 Wi-Fi 9000 Color Touch Screen Programmable Thermostat, 3.5 x 4.5 Inch, White, 'Requires C Wire""",4,amazon.com,531.89
"Sep 1, 2022 1:07:13 AM PDT",Adjustment,112-2663958-9542633,WSWM22-B1,"Sanus Adjustable Sonos Wall Mount for Sonos One, Play:1, & Play:3 - Tool Free Tilt & Swivel Adjustments for Best Audio - Pair (Black) - WSWM22-B1",1,amazon.com,-53.42
"Sep 1, 2022 1:08:01 PM PDT",Adjustment,114-9875279-1557058,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,1.99
"Sep 1, 2022 1:08:02 PM PDT",Adjustment,114-9396886-8323417,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,1.99
"Sep 1, 2022 1:08:05 PM PDT",Order,114-6861091-5978643,STHT71839,"Stanley STHT71839 Folding Metric and Sae Hex Keys, 2-Pack",1,amazon.com,12.27
"Sep 1, 2022 1:09:04 PM PDT",Order,113-7040498-9225001,L-BDGPRO2-WH,"Lutron Caseta L-BDGPRO2-WH - SmartBridge Pro Programmed Via Lutron App, White",1,amazon.com,105.37
"Sep 1, 2022 1:10:00 AM PDT",Order,114-3475990-6555466,C7089U1006,Honeywell C7089U1006 Outdoor Temperature Sensor,1,amazon.com,8.53
"Sep 1, 2022 1:11:59 PM PDT",Order,114-0749116-6245049,NP7-12,Yuasa NP7-12 12V/7Ah Sealed Lead Acid Battery with F1 Terminal,1,amazon.com,29.21
"Sep 1, 2022 1:14:54 AM PDT",Order,113-4592398-4297850,889LM,Liftmaster 889LM MyQ Control Panel (Replaces 888LM),1,amazon.com,46.37
"Sep 1, 2022 1:16:14 PM PDT",Order,112-7817829-6810613,DWST17818,DEWALT DW CLIPBOARD,1,amazon.com,22.62
"Sep 1, 2022 1:16:28 AM PDT",Order,111-9039362-4060215,amzn.gr.O2-811LM-uby4dg182b7cg,LiftMaster 811LM Encrypted DIP with Security+ 2.0 Technology Remote Control,1,amazon.com,14.96
"Sep 1, 2022 1:18:02 PM PDT",Order,112-3003134-0319461,MCW-S/A,"Aiphone MCW-S/A Desk Mount Stand for AX, GT, JF, JM, JO, and KB Series Systems",1,amazon.com,27.84
"Sep 1, 2022 1:19:22 PM PDT",Order,112-0327217-1376235,Coleman:2000036889,"Coleman Sundome 6-Person Dome Tent , Navy/Grey, 6 Person",1,amazon.com,108.64
"Sep 1, 2022 1:19:57 PM PDT",Order,111-5377706-8602611,STHT71839,"Stanley STHT71839 Folding Metric and Sae Hex Keys, 2-Pack",1,amazon.com,12.27
"Sep 1, 2022 1:20:52 AM PDT",Order,111-7733071-8997850,REM5000R1001,"Honeywell REM5000R1001 Portable Comfort Control, White",1,amazon.com,86.87
"Sep 1, 2022 1:22:15 PM PDT",Order,113-2884552-2308210,TH4110U2005/U,"Honeywell TH4110U2005/U T4 Pro Program Mable Thermostat, White",1,amazon.com,31.15
"Sep 1, 2022 1:23:27 PM PDT",Order,111-7628671-8481860,C7089U1006,Honeywell C7089U1006 Outdoor Temperature Sensor,1,amazon.com,8.51
"Sep 1, 2022 1:23:27 PM PDT",Order,111-7628671-8481860,TH8321WF1001,Honeywell TH8321WF1001 Touchscreen Thermostat Wifi Vision Pro 8000 with Stages upto 3 Heat / 2 Cool,1,amazon.com,116.98
"Sep 1, 2022 1:25:06 AM PDT",Order,113-1495067-9245069,TH1100DV1000,Honeywell TH1100DV1000 Pro-Digital 2-Wire Heat Only,1,amazon.com,24.68
"Sep 1, 2022 1:27:44 PM PDT",Order,113-8186460-3189812,RCHT9610WFSW2003,"Honeywell Home T9 WiFi Smart Thermostat with 1 Smart Room Sensor, Touchscreen Display, Alexa and Google Assist",1,amazon.com,146.04
"Sep 1, 2022 1:29:13 PM PDT",Order,111-0052702-2193801,NP7-12,Yuasa NP7-12 12V/7Ah Sealed Lead Acid Battery with F1 Terminal,1,amazon.com,28.48
"Sep 1, 2022 1:29:15 PM PDT",Order,112-8663255-9889839,LUT-MLC,Lutron LUT-MLC,2,amazon.com,11.97
"Sep 1, 2022 1:29:15 PM PDT",Order,112-8663255-9889839,LUT-MLC,Lutron LUT-MLC,1,amazon.com,10.21
"Sep 1, 2022 1:30:57 PM PDT",Order,111-4930745-9544252,221-413-2pk (2x50=100),Wago 221-413 LEVER-NUTS 3 Conductor Compact Connectors 100 PK,1,amazon.com,27.04
"Sep 1, 2022 1:31:23 AM PDT",Order,112-1579436-9676220,TH8321WF1001-2PK,Honeywell TH8321WF1001 Wifi Vision Pro 8000 with Stages upto 3 Heat / 2 Cool (2 Pack),1,amazon.com,257.49
"Sep 1, 2022 1:32:10 PM PDT",Order,112-5167788-6380227,20352GOLD100D,LENOX GOLD Titanium Nitride Coated Utility Knife Blades (100 Pack),1,amazon.com,38.21
"Sep 1, 2022 1:35:46 AM PDT",Order,112-5900684-1853018,5800FLOOD,5800FLOOD Wireless Leak Detector Sensor by Honeywell,1,amazon.com,20.96
"Sep 1, 2022 1:35:46 AM PDT",Order,112-5900684-1853018,5800FLOOD,5800FLOOD Wireless Leak Detector Sensor by Honeywell,1,amazon.com,41.26
"Sep 1, 2022 1:36:00 AM PDT",Order,114-6343937-3247443,M-8LX,"Furman M-8Lx Standard Level Power Conditioning, 15 Amp, 9 Outlets with Wall Wart Spacing, Pullout Lights",1,amazon.com,92.69
"Sep 1, 2022 1:36:58 PM PDT",Order,111-5567832-0996218,TH9320WF5003 - b,"Honeywell TH9320WF5003 Wi-Fi 9000 Color Touch Screen Programmable Thermostat, 3.5 x 4.5 Inch, White, 'Requires C Wire""",1,amazon.com,132.97
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,1,amazon.com,-218.68
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,2,amazon.com,301.12
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,1,amazon.com,150.56
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,1,amazon.com,150.56
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,1,amazon.com,150.56
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,1,amazon.com,150.56
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,2,amazon.com,301.12
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,1,amazon.com,150.56
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,1,amazon.com,150.56
"Sep 1, 2022 1:37:36 PM PDT",Order,112-6062310-6444206,ADC-T2000,Alarm.com Smart Thermostat,1,amazon.com,150.56
"Sep 1, 2022 1:38:26 AM PDT",Order,112-7091470-1627407,889LM,Liftmaster 889LM MyQ Control Panel (Replaces 888LM),1,amazon.com,41.82
"Sep 1, 2022 1:39:28 PM PDT",Order,112-6373657-3058619,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,2
"Sep 1, 2022 1:41:26 PM PDT",Order,111-4853909-7672213,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,1.99
"Sep 1, 2022 1:42:38 PM PDT",Order,111-7103611-7534631,66-052,"Stanley Tools 6-Piece Precision Screwdriver Set, Black/Yellow",1,amazon.com,5.26
"Sep 1, 2022 1:42:57 PM PDT",Order,111-0810570-8952268,1903ZR,"IRWIN NPT Tap for Tap Die Extraction, 1/4-Inch, 18 NPT(1903ZR)",1,amazon.com,6.47
"Sep 1, 2022 1:44:34 PM PDT",Order,112-9533236-9320227,20350GOLD5C,"LENOX Utility Knife Blades, Titanium Edge, 5-Pack (20350GOLD5C)",1,amazon.com,1.8
"Sep 1, 2022 1:44:34 PM PDT",Order,112-9533236-9320227,20350GOLD5C,"LENOX Utility Knife Blades, Titanium Edge, 5-Pack (20350GOLD5C)",1,amazon.com,5.08
"Sep 1, 2022 1:44:58 AM PDT",Order,114-1621831-6421828,Coleman:2000036889,"Coleman Sundome 6-Person Dome Tent , Navy/Grey, 6 Person",1,amazon.com,108.23
"Sep 1, 2022 1:47:36 PM PDT",Order,113-8404718-2562613,GN503FF-b,GN-503FF GENTEX,1,amazon.com,29.34
"Sep 1, 2022 1:47:36 PM PDT",Order,113-8404718-2562613,GN503FF-b,GN-503FF GENTEX,1,amazon.com,80.34
"Sep 1, 2022 1:47:36 PM PDT",Order,113-8404718-2562613,GN503FF-b,GN-503FF GENTEX,1,amazon.com,80.34
"Sep 1, 2022 1:47:36 PM PDT",Order,113-8404718-2562613,GN503FF-b,GN-503FF GENTEX,1,amazon.com,80.34
"Sep 1, 2022 1:48:21 PM PDT",Order,113-0536513-7273065,O2-811LM,LiftMaster 811LM Encrypted DIP with Security+ 2.0 Technology Remote Control,1,amazon.com,-12.84
"Sep 1, 2022 1:48:21 PM PDT",Order,113-0536513-7273065,O2-811LM,LiftMaster 811LM Encrypted DIP with Security+ 2.0 Technology Remote Control,1,amazon.com,20.52
"Sep 1, 2022 1:48:21 PM PDT",Order,113-0536513-7273065,O2-811LM,LiftMaster 811LM Encrypted DIP with Security+ 2.0 Technology Remote Control,2,amazon.com,41.03
"Sep 1, 2022 1:48:21 PM PDT",Order,113-0536513-7273065,O2-811LM,LiftMaster 811LM Encrypted DIP with Security+ 2.0 Technology Remote Control,2,amazon.com,41.03
"Sep 1, 2022 1:50:12 PM PDT",Order,113-2092740-5271402,221-415/K194-4045,221-415 | WAGO Lever-Nuts® Splicing Connector | for Solid and Stranded Conductors | 5-Conductor with Operating levers | 24-12 AWG | Transparent housi,1,amazon.com,14
"Sep 1, 2022 1:51:06 PM PDT",Order,111-6786120-4257005,889LM,Liftmaster 889LM MyQ Control Panel (Replaces 888LM),1,amazon.com,47.23
"Sep 1, 2022 1:53:36 AM PDT",Order,113-2154458-0142621,RC840T-240,"Aube Technologies RC840T-240 On/Off Switching Electric Heating Relay with Built-in 24 V Transformer, Black",1,amazon.com,17.46
"Sep 1, 2022 1:53:41 PM PDT",Order,111-9639495-1109828,C7189R1004,"Honeywell FBA C7189R1004 Wireless Indoor Sensor, Premier White",1,amazon.com,29.56
"Sep 1, 2022 1:55:20 AM PDT",Order,112-1826440-1909853,STHT71839,"Stanley STHT71839 Folding Metric and Sae Hex Keys, 2-Pack",1,amazon.com,12.27
"Sep 1, 2022 1:56:18 AM PDT",Order,112-5592805-3083452,8124-4PK,JBL 8124 - Full-Range In-Ceiling Loudspeaker with 70 Volt/100 Volt Taps (4 Pack),1,amazon.com,145.79
"Sep 1, 2022 1:56:34 PM PDT",Order,112-5396037-3447434,DWST08350,DEWALT Toughsystem 2.0 Jobsite Tool Bag (DWST08350),1,amazon.com,85.71
"Sep 1, 2022 1:57:01 AM PDT",Order,112-0204591-4693844,LA-ADCVC836,Alarm.com 1080P HD Indoor/Outdoor Dome Security Camera ADC-VC836,1,amazon.com,157.43
"Sep 1, 2022 1:57:20 AM PDT",Order,113-2563178-8811400,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,1.99
"Sep 1, 2022 10:10:08 PM PDT",Order,111-0582177-5542621,221-412/K194-4045,WAGO 221-412 Lever-Nuts® 2-Conductor Compact Splicing Connectors (Pack of 100),1,amazon.com,21.2
"Sep 1, 2022 10:12:11 AM PDT",Order,114-8468967-8050662,TH1100DV1000,Honeywell TH1100DV1000 Pro-Digital 2-Wire Heat Only,2,amazon.com,-17.15
"Sep 1, 2022 10:12:11 AM PDT",Order,114-8468967-8050662,TH1100DV1000,Honeywell TH1100DV1000 Pro-Digital 2-Wire Heat Only,9,amazon.com,288.64
"Sep 1, 2022 10:13:30 AM PDT",Order,112-5945061-0045061,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,2
"Sep 1, 2022 10:13:59 PM PDT",Order,112-6105395-4137865,TH9320WF5003,"Honeywell Wireless WiFi Thermostat,7 Programmable",1,amazon.com,130.42
"Sep 1, 2022 10:14:14 AM PDT",Order,113-9114684-2034609,014725R-B,Stanley Tools and Consumer Storage 014725R 25-Removable Compartment Professional Organizer,2,amazon.com,30.7
"Sep 1, 2022 10:14:22 PM PDT",Order,114-9960328-6794627,DWMT81097,"DEWALT Ratchet, Quick Release, SAE, 3/8-Inch Drive (DWMT81097)",1,amazon.com,22.22
"Sep 1, 2022 10:16:23 PM PDT",Order,112-9726603-1260248,31-601-b,Duct Seal 1 lb,1,amazon.com,4.91
"Sep 1, 2022 10:16:23 PM PDT",Order,112-9891423-1513014,DWMT81097,"DEWALT Ratchet, Quick Release, SAE, 3/8-Inch Drive (DWMT81097)",1,amazon.com,21.63
"Sep 1, 2022 10:17:30 AM PDT",Order,111-0362823-6035413,NP7-12,Yuasa NP7-12 12V/7Ah Sealed Lead Acid Battery with F1 Terminal,1,amazon.com,29.45
"Sep 1, 2022 10:17:45 AM PDT",Order,113-1118125-1642649,K4563V1,Honeywell K4563V1 Hold-up Switch Reset Key,2,amazon.com,3.49
"Sep 1, 2022 10:17:45 AM PDT",Order,113-1118125-1642649,K4563V1,Honeywell K4563V1 Hold-up Switch Reset Key,2,amazon.com,11.29
"Sep 1, 2022 10:17:45 AM PDT",Order,113-1118125-1642649,K4563V1,Honeywell K4563V1 Hold-up Switch Reset Key,2,amazon.com,11.29
"Sep 1, 2022 10:17:57 PM PDT",Order,111-2120401-5323433,221-415-2pk (25/bx*2bx),Wago 221-415 Lever-Nuts 5 Conductor Compact Connectors 50 PK,1,amazon.com,29.07
"Sep 1, 2022 10:18:45 AM PDT",Order,111-8636302-7288216,12092,"IRWIN Drill Bit Gauge, 1/16-to-1/2-Inch, 29-Hole (12092)",1,amazon.com,4.94
"Sep 1, 2022 10:19:48 AM PDT",Order,114-7801828-0185810,TH1100DV1000/u,Honeywell TH1100DV1000/U Pro 1000 Vertical Non-Programmable Thermostat,2,amazon.com,38
"Sep 1, 2022 10:19:58 AM PDT",Order,112-3927066-4794627,IM-1250F1,"UltraTech UT-1240 / UT-1250-F1 12V, 4.5Ah Sealed Lead Acid Alarm Battery UT1240 UT-1250-F1 ISO9001",1,amazon.com,14.58
"Sep 1, 2022 10:20:32 PM PDT",Order,113-3512432-7577064,UT-1250-F1,"UltraTech UT-1240 / UT-1250-F1 12V, 4.5Ah Sealed Lead Acid Alarm Battery UT1240 UT-1250-F1 ISO9001",1,amazon.com,15.11
"Sep 1, 2022 10:21:04 PM PDT",Order,111-8595262-7019452,TH8321WF1001,Honeywell TH8321WF1001 Touchscreen Thermostat Wifi Vision Pro 8000 with Stages upto 3 Heat / 2 Cool,1,amazon.com,118.25
"Sep 1, 2022 10:21:31 PM PDT",Order,114-4415137-2428210,TH8321WF1001,Honeywell TH8321WF1001 Touchscreen Thermostat Wifi Vision Pro 8000 with Stages upto 3 Heat / 2 Cool,1,amazon.com,82.23
"Sep 1, 2022 10:21:31 PM PDT",Order,114-4415137-2428210,TH8321WF1001,Honeywell TH8321WF1001 Touchscreen Thermostat Wifi Vision Pro 8000 with Stages upto 3 Heat / 2 Cool,1,amazon.com,154.27
"Sep 1, 2022 10:23:04 PM PDT",Order,111-4817048-4189030,TH9320WF5003 - b,"Honeywell TH9320WF5003 Wi-Fi 9000 Color Touch Screen Programmable Thermostat, 3.5 x 4.5 Inch, White, 'Requires C Wire""",1,amazon.com,132.97
"Sep 1, 2022 10:23:48 AM PDT",Order,111-7401497-8970606,O2-880LMW,880LMW Smart Control Panel ONLY Compatible with LiftMaster MyQ formats Security+ 2.0 and LiftMaster Wi-Fi Garage Door Openers.,1,amazon.com,43.2
"Sep 1, 2022 10:24:56 AM PDT",Order,113-5235710-9715406,ARG-2001561,"Argo, Cornstarch, 1 Pound(LB)",1,amazon.com,1.99
"Sep 1, 2022 10:25:40 AM PDT",Order,111-0137264-6840276,TH9320WF5003 - b,"Honeywell TH9320WF5003 Wi-Fi 9000 Color Touch Screen Programmable Thermostat, 3.5 x 4.5 Inch, White, 'Requires C Wire""",1,amazon.com,132.97
